=== PT vs TRT 채점표 (PT 220개 / TRT 220개 완료) ===

                 route scenario                   | PTcomp cv cl | TRTcomp cv cl | 회피일치
RouteScenario_3717_rep VehicleTurningRoute_1      |      0  0  0 |      48  1  0 | X (PT cv0 / TRT cv1)
RouteScenario_3731_rep VehicleTurningRoutePedestr |      5  6  0 |      13  4  0 | O
RouteScenario_3737_rep VehicleTurningRoutePedestr |     36  2  0 |      36  2  0 | O
RouteScenario_3749_rep EnterActorFlow_1           |     70  0  0 |      70  0  0 | O
RouteScenario_3785_rep MergerIntoSlowTraffic_1    |    100  0  0 |     100  0  0 | O
RouteScenario_3800_rep MergerIntoSlowTraffic_1    |    100  0  0 |     100  0  0 | O
RouteScenario_3813_rep HighwayCutIn_1             |    100  0  0 |     100  0  0 | O
RouteScenario_3865_rep VanillaSignalizedTurnEncou |     70  0  0 |      70  0  0 | O
RouteScenario_3869_rep VanillaSignalizedTurnEncou |     70  0  0 |      70  0  0 | O
RouteScenario_3876_rep VanillaSignalizedTurnEncou |    100  0  0 |      70  0  0 | O
RouteScenario_3890_rep VanillaNonSignalizedTurn_1 |    100  0  0 |     100  0  0 | O
RouteScenario_3904_rep VanillaNonSignalizedTurnEn |    100  0  0 |      80  0  0 | O
RouteScenario_3905_rep VanillaNonSignalizedTurnEn |    100  0  0 |     100  0  0 | O
RouteScenario_3936_rep SignalizedJunctionLeftTurn |      9  3  0 |      25  1  0 | O
RouteScenario_4183_rep SignalizedJunctionLeftTurn |     20  1  0 |       7  4  0 | O
RouteScenario_4468_rep SignalizedJunctionLeftTurn |     27  1  1 |      36  2  0 | O
RouteScenario_4669_rep SignalizedJunctionLeftTurn |     60  1  0 |      36  2  0 | O
RouteScenario_4683_rep SignalizedJunctionLeftTurn |     60  1  0 |      60  1  0 | O
RouteScenario_4937_rep SignalizedJunctionRightTur |    100  0  0 |      60  1  0 | X (PT cv0 / TRT cv1)

=== 요약 ===
  둘 다 완료한 route: 220
  PT  평균 driving score(composed): 64.0
  TRT 평균 driving score(composed): 63.7
  차량회피 일치(둘 다 충돌0 또는 둘 다 충돌): 194/220 (88%)
